Clayman Study ID,Clayman Business ID,Employee Business Title,Employee Employee Type,Employee Gender,Overall Performance Rating,Overall Performance Rating Description,Section Comment Owner Clayman ID,San Jose,Clean Section Comment
25,1,"Director, Mobile Engineering",Director,M,3,Meets,4,Yes,"It is one of the most valuable technologists in the company. ~~Under its leadership, its team delivered  successfully 001 Here Chip&Pin for UK,  and paved the road for a solid foundation for 001 Here SDK.  It also initiated a good structure for 001 Here core services to take off.~~It has eyes for talents.  It built two new strong technical teams in 2013 (001Here SDK team and Reporting  Services team).  SDK team has made a direct contribution to 2013 PPH partner roadmap as well as AU EMV delivery for 2014.  Reporting services team has a great potential to deliver the faster and more reliable reporting services than that of any other 001 existing solutions.~~It is a rare hands-on technologist who gets its hands dirty in the low level implementation as well as high-level planning.  Its work has inspired many engineers and managers.  It is respected in the technical community in 001 as one of the game changer technical leaders.~~While it is growing to be a more impactful leader with broader responsibilities,  people would love to see it to scale up more in the following areas:~Balance the level of focus across all of its areas to enable the overall product delivery while still be able to deep dive some technical areas.~Grow the next generation of technical leaders to strive and connect to the purpose. ~~It is a very pleasant person to work with and a great asset to the company. I look forward to a great 2014 with it."
26,1,"Sr. MTS, Architect",Individual Contributor,M,2,Meets Some,35,Yes,"It implemented some of the key features that integrated with 3rd party services.  MDS integrates with EDL to contextualize the location of the user making the ad request. It quickly ramped up on the technology and enabled the integration. Another integration it enabled was between MDS & Pubmatic, Pubmatic is a source of indirect revenue for MDS. It quickly ramped up on the API and enabled the integration. After MDS went live  we realized that these 2 integrations were contributing to slow response times. It analyzed the problems and created system to either make the calls or efficient or throttled the calls without any impact on revenue.  Over the holiday we did not have any drop in Pubmatic revenue, in fact for some weeks we saw the highest revenue for the year.  It was associated with the MDS project for the whole year, but it only started contributing towards the last few months of the project, and this small time it made a big impact but given its role a lot more was expected from it."
27,1,"Software Engineer 3, Quality",Individual Contributor,M,3,Meets,25,Yes,"2013 has been a solid year for it and it continues to manage and lead the Mobile releases which are increasing in frequency and feature set.~~As Mobile grows in 2014 and we are expected to own 100% of Mobile Commerce in 2014, I expect to see its strong leadership continue and also provide a clear strategy for IQS testing of Mobile in 2014.~~ "
28,1,"MTS 2, Architect",Individual Contributor,M,4,Exceeds Some,32,Yes,"It is the platform software lead for 001 Beacon.  It was initially brought into 001 as a mobile software developer, but it is a highly experienced firmware engineer by background.  When the Beacon project was looking for help, it volunteered to jump in and quickly rose to take responsibility for the embedded platform running on the Beacon device itself.  It has been operating as the Beacon platform architect for about 7 months, and this promotion is really an overdue recognition of its actual duties and responsibilities going forward. ~~In its platform lead role, it has sole architectural leadership over all device-specific software running on the Beacon, including bootloader, drivers, embedded OS, toolchain, and manufacturing software. Its role is highly visible and cross-organizational, and it routinely directs the operation of external partners in addition to the activities of the internal, non-A&I resources assigned to the Beacon platform/firmware team.  It has created processes and tools that have dramatically boosted the productivity of the other engineers involved.  It has done significant work on toolchain and OS build automation with the intent of making it a platform for hardware projects beyond just Beacon.  It is also a major contributor in component selection evaluations, and it suggests both original design and modifications to the hardware design at levels ranging from the system blocks down to individual pin assignments.  It has filed one patent on its work so far.~~Impact to customers, business, and outside of Technology org:~~The Beacon is a key strategic initiative for 001 because of its innovative and transformative impact on consumer purchasing behaviors.  The team working to deliver on the promise of the Beacon is drawn from organizations across 001 and its role is a central and critical one.  Its individual achievements and contributions to the program have been recognized at the highest levels inside of 001, including as witnessed by a Spot Bonus directly from James.~~The initial set of Beacons are about to be distributed to third-party developers and enter into field trials, but there is a lot more work to be done to deliver production units and to transition Beacon into an embedded and widely distributed technology.  It is hard to overstate how important its contributions and leadership will be to making this strategic initiative successful."
29,1,"Director, Technical Systems 1",Director,F,4,Exceeds Some,42,Yes,"It has done an incredible job ramping up on the Professional Services organization, while at the same time delivering on results.   It has been able to provide direction and coaching to its team, and has also been able to focus on getting talent on board, as its bredth of responsibilites have expanded.   Its ability to leverage relationships with Solutions, Product, PD, and Bus Dev have been instrumental to its success.   Going forward it has an opporunity to continue to grow its business acumen and influence skills.   It also has an opportunity to take advantage of interacting with the VP population to further influence that segment of the population."
30,1,"MTS 1, Business Systems Analyst",Individual Contributor,F,3,Meets,58,Yes,"It has been a strong contributor to the GFS team. It has almost been operating as a BSA/PO on this team, due to the limited resources this team has.~~It has been focusing on the SEPA project and has done a great job of working with various cross-functional teams to keep the project on track. It has good attention to details and dedication to ensure its user stories are on target and meet the deadlines set for. Its work on the SEPA project was very well received by the business partners as well.~~It knows its domain well and works hard to develop its knowledge on 001 products overall. It is curious and always asks questions, which is a great quality for an analyst. Its thirst for knowledge has helped it to gain good knowledge of its area and made it the default expert to go to. It has been participative in the BSA practice as well and brings up great questions for discussions. It has made use of various knowledge sharing forums to add to its knowledge and understand new areas.~~As it transitions into a PO role in H1, I would recommend it to focus on getting feedback from its peers and BU stakeholders to understand its brand perception. This will help it in working towards a strong PO who can influence stake holders and be a thought leader with the group."
31,1,Software Engineer 2,Individual Contributor,F,3,Meets,63,Yes,I'm expecting a lot more from it in the future.  Team capacity is getting challenged with multiple tracks popping up.  I believe this will become an opportunity for it to shine.  Snowbird's success can only come with it successfully stepping up and starting to realize its full potential.
32,1,Software Engineer 3,Individual Contributor,F,3,Meets,57,Yes,"It has done very well in 2013. Its transition to the platform team allowed it to gain the confidence and the knowledge needed to become a very valuable member of that team. It does its work well under minimal supervision and guidance. It is very respected by its peers.~~It and I started to work together in October after the Wallet re-org. Its main contributions during the remainder of the year were continuous pricing and the big memory project. The big memory project is its opportunity to lead a complex project end-to-end. I'm looking forward to the completion of that project in 2014.~~Areas of improvements/growth:~- Speak with confidence - its current style is that it speaks about a subject with pretty good authority but then it finishes it with a couple of comments that give the impression that it is not sure of its own accomplishments. It is aware of this feedback, both [colleague] and I have shared that. I will make this a focus area in 2014.~- Expand technical skills~- Expand project complexity - lead more projects"
33,1,Technical Writer 4,Individual Contributor,F,3,Meets,68,Yes,"You are a great team member!  You have a positive spirit, a can do attitude and bring strong techical writing skills to our efforts.~~Your contributions were key to the success of important global Technology initatives: ~* Improve Doc-- addressing the challenge of engineers searching for documentation that will help them be effective in their jobs~** Great job leading the Migration subteam.  Great job teaching others Confluence.~* New Hire training-- helping new joiners come up to speed faster on 001 specific environments and technologies~** Great job on the C++ and Java Jumpstarts!~~People who work with you greatly appreciate your working style, along with your technical writing abilities.  What a winning combination! ~Looking forward to a fantastic 2014!"
34,1,"Manager, Data | PMO",Manager,F,4,Exceeds Some,60,Yes,"Overall, for it and the PMO, this was a successful year, as has been outlined above. 2013 was really a foundational year, where the PMO was transformed to be an Agile PMO, with Scum Masters and Agile Program Managers.~ ~Some of the feedback provided by its direct reports that it should continue:~- Providing organizational guidance and background~- Entrust team members to manage their programs/projects including escalations~- Encourages growth, provides platform and provides timely feedback~- ""It is a great manager with outstanding interpersonal skills and grasp of the issues raised by the team. It has actively sought feedback from me on the projects from planning to execution. It has provided me guidance on various parts of my job and responsibilities. It has supported me in completing my commitments to the program and our group. It has a passion to bring out the best in me. It provides me enough freedom to accomplish my goals and tasks.""~- Detail oriented~- Delegates responsibility; does not micromanage~- Supportive~- Dedication and hard work~- Interpersonal skills~ ~Some of the feedback, that it and its management team can work on:~- Promoting and improving the PMO brand inside and outside of DT~- Improving communication~- Consider a ""technology-free"" meeting for 1:1s so that folks feel like undivided attention is being provided~- Try not to get pulled in so many directions as to get out of sync with direct reports~- ""Drive transparency throughout DT""~- ""Program level 1:1s"" with PgMs and SMs to help increase transparency and alignment~- ""It receives feedback about dysfunctions and other issues in the organization but in the few weeks I have been here I have not seen any signs that things will change or feedback about changes being worked on. My impression is that it is reactive to “blow ups” instead of being “open, honest and direct” to deal with the root cause and affect positive change.~- It always stresses delivery. I don’t think it fully understands that the Agile transformation requires more focus on improving collaboration (up, down and across), team morale et cetera and that delivery will naturally improve.~- As a people manager it could provide more support. It listens, says it will take actions and does not always follow through. This example is minor but expenses submitted more than two weeks ago have not been approved yet.""~ ~I am looking forward to the benefits that DT will see in 2014 from the hard work that it and its team did in 2013 to establish the foundation for the PMO!"
35,1,Software Quality Engineer,Individual Contributor,M,3,Meets,77,No,"It was critical in the success of the MDS project in 2013.  Without its efforts, the project would have been in risk of made it's summer deadline to start taking traffic from the PPMN.  Without this switchover, the legacy ads platform would still be running requiring maintenance and support and causing additional migration efforts to move the legacy system to LVS as well.~~In the upcoming year, I will look to more clearly define its role in the Demand Gen organization.  Based on its work with MDS, opportunities are available to it in the devops area throughout the migration to the LVS datacenter.  If these opportunities are not pursued, I will look to get it more involved in one of the local delivery teams as MDS does not appear to be leveraging it to the fullest extent.  ~~In the new year, I will look for it to suggest additional areas where its skills can best be put to work and look for it to research and present new technologies to the group."
